sa2_code,sa2_label,sa2_name_geo,state_name,gccsa_name,lat,lon,digital_jobs,digital_businesses,digital_job_share,digital_job_share_pct,digital_business_share,digital_business_share_pct,digital_income_weighted,digital_income_premium,jobs_per_digital_business,digital_solo_share,digital_solo_share_pct,digital_large_employer_share,digital_large_employer_share_pct,gender_income_gap,female_employment_share,ecosystem_category
106021614,East Maitland - Metford,East Maitland - Metford,New South Wales,Rest of NSW,-32.76983284747032,151.58997242293188,994.0,138.0,0.068433734939759,6.8433734939759,0.1269549218031278,12.695492180312781,48280.23943661972,8943.778679304742,7.202898550724638,0.4057971014492754,40.57971014492754,0.0217391304347826,2.1739130434782603,22469.0,0.4892963425170394,lower digital concentration
106021615,Rutherford (North) - Aberglasslyn,Rutherford (North) - Aberglasslyn,New South Wales,Rest of NSW,-32.6704213762612,151.48088091143933,788.0,102.0,0.0517331932773109,5.17331932773109,0.1122112211221122,11.22112211221122,45372.48984771573,4760.725896822878,7.725490196078432,0.5294117647058824,52.94117647058824,0.0,0.0,31095.0,0.4950197331328698,lower digital concentration
106021618,Thornton - Millers Forest,Thornton - Millers Forest,New South Wales,Rest of NSW,-32.76293961919494,151.66947709442064,893.0,119.0,0.0624213616664336,6.24213616664336,0.1133333333333333,11.33333333333333,53872.46360582307,9987.673063393318,7.504201680672269,0.3445378151260504,34.45378151260504,0.0672268907563025,6.72268907563025,29906.0,0.4929536957146966,lower digital concentration
106031121,Nelson Bay Peninsula,Nelson Bay Peninsula,New South Wales,Rest of NSW,-32.73650992888774,152.12666876195934,848.0,246.0,0.0604203776273601,6.04203776273601,0.1431064572425829,14.31064572425829,47316.72641509434,15526.653347762664,3.4471544715447155,0.5650406504065041,56.50406504065041,0.0,0.0,17594.0,0.4995885526195483,lower digital concentration
106031122,Raymond Terrace,Raymond Terrace,New South Wales,Rest of NSW,-32.77036573755178,151.75666025585335,518.0,63.0,0.0465116279069767,4.65116279069767,0.0660377358490566,6.60377358490566,40924.62258687259,7946.067096165934,8.222222222222221,0.3968253968253968,39.682539682539684,0.1111111111111111,11.11111111111111,20315.5,0.4793794930003783,lower digital concentration
106031125,Williamtown - Medowie - Karuah,Williamtown - Medowie - Karuah,New South Wales,Rest of NSW,-32.71710033670863,151.89328586224073,737.0,87.0,0.0624311732316814,6.24311732316814,0.0934479054779806,9.344790547798059,52970.94029850746,13590.466092662486,8.471264367816092,0.4367816091954023,43.67816091954023,0.0344827586206896,3.44827586206896,27871.5,0.4792554384391119,lower digital concentration
107011131,Dapto - Avondale,Dapto - Avondale,New South Wales,Rest of NSW,-34.52247871276988,150.766537724941,1004.0,118.0,0.0575391139893403,5.75391139893403,0.1059245960502693,10.59245960502693,45981.78087649403,6794.051465066441,8.508474576271187,0.4745762711864407,47.45762711864407,0.0,0.0,23506.0,0.4829880538333585,lower digital concentration
107011132,Horsley - Kembla Grange,Horsley - Kembla Grange,New South Wales,Rest of NSW,-34.477460523746934,150.76419766223648,766.0,68.0,0.073357594330588,7.3357594330588,0.1362725450901803,13.62725450901803,50204.55352480418,4572.656378663589,11.264705882352942,0.4558823529411764,45.58823529411764,0.0,0.0,31508.0,0.5050787201625191,large-employer / job-heavy hub
107011134,Unanderra - Mount Kembla,Unanderra - Mount Kembla,New South Wales,Rest of NSW,-34.44192881106303,150.8241243078588,918.0,140.0,0.080802746237127,8.080274623712699,0.1087801087801087,10.87801087801087,52358.055555555555,8429.449755009831,6.557142857142857,0.4714285714285714,47.14285714285714,0.0428571428571428,4.28571428571428,26726.0,0.489317948132069,lower digital concentration
107011545,Berkeley - Lake Heights - Cringila,Berkeley - Lake Heights - Cringila,New South Wales,Rest of NSW,-34.47791632643174,150.84608103499696,535.0,41.0,0.0567217981340118,5.67217981340118,0.0647709320695102,6.477093206951021,47489.52056074766,13674.023264310004,13.048780487804878,0.5853658536585366,58.536585365853654,0.0,0.0,19539.5,0.4606458828463581,lower digital concentration
107031136,Albion Park - Macquarie Pass,Albion Park - Macquarie Pass,New South Wales,Rest of NSW,-34.576800781772995,150.71916230267476,963.0,98.0,0.0580750211072247,5.80750211072247,0.109375,10.9375,54883.86915887851,9887.97985119548,9.826530612244898,0.4183673469387755,41.836734693877546,0.0,0.0,31928.5,0.5009214005288037,large-employer / job-heavy hub
107031138,Kiama,Kiama,New South Wales,Rest of NSW,-34.68178871033519,150.8434673045293,468.0,136.0,0.0832592065468777,8.32592065468777,0.1723700887198986,17.237008871989858,48230.166666666664,8921.688548894024,3.4411764705882355,0.5294117647058824,52.94117647058824,0.0,0.0,23642.5,0.5103139013452915,digitally specialised
107031140,Kiama Hinterland - Gerringong,Kiama Hinterland - Gerringong,New South Wales,Rest of NSW,-34.68904687565185,150.7541595703466,490.0,140.0,0.0891071103837061,8.910711038370609,0.1560758082497212,15.60758082497212,52182.489795918365,13791.118364749062,3.5,0.6071428571428571,60.71428571428571,0.0214285714285714,2.14285714285714,23270.0,0.4928888888888889,digitally specialised
107031141,Shellharbour - Flinders,Shellharbour - Flinders,New South Wales,Rest of NSW,-34.60211568673214,150.83191706345988,1014.0,168.0,0.0653055967025181,6.530559670251811,0.1428571428571428,14.28571428571428,52822.483234714,8860.142570065327,6.035714285714286,0.5416666666666666,54.166666666666664,0.0178571428571428,1.78571428571428,34000.5,0.5011455239711498,emerging growth corridor
107031143,Warilla,Warilla,New South Wales,Rest of NSW,-34.5548166574146,150.8542067880938,692.0,86.0,0.0512516664197896,5.12516664197896,0.1032412965186074,10.32412965186074,46495.491329479766,9232.28061995525,8.046511627906977,0.5581395348837209,55.81395348837209,0.0,0.0,19872.5,0.490194165284418,lower digital concentration
107041144,Balgownie - Fairy Meadow,Balgownie - Fairy Meadow,New South Wales,Rest of NSW,-34.39167659874509,150.88536230076562,1494.0,230.0,0.0933983495873968,9.339834958739681,0.1494476933073424,14.944769330734239,49724.77911646586,10725.393301262062,6.495652173913044,0.5608695652173913,56.086956521739125,0.0,0.0,19792.0,0.4889327738007076,emerging growth corridor
107041145,Corrimal - Tarrawanna - Bellambi,Corrimal - Tarrawanna - Bellambi,New South Wales,Rest of NSW,-34.37085644220834,150.89710688503808,933.0,128.0,0.0798801369863013,7.988013698630129,0.1302136317395727,13.02136317395727,45255.845659163984,3995.5572173831606,7.2890625,0.4765625,47.65625,0.0234375,2.34375,21801.0,0.5053799596503026,lower digital concentration
