sa2_code,sa2_label,digital_jobs,digital_businesses,digital_job_share,digital_business_share,digital_income_weighted,digital_income_premium,jobs_per_digital_business,digital_solo_share,digital_large_employer_share,male_median_income,female_median_income,gender_income_gap,female_employment_share,ecosystem_category
214021384,Rosebud - McCrae,930.0,177.0,0.0650031453134829,0.1059880239520958,34961.56559139785,5093.111303287133,5.254237288135593,0.559322033898305,0.0169491525423728,58308.0,42746.0,15562.0,0.5063008311734739,lower digital concentration
214021385,Somerville,972.0,173.0,0.0672059738643435,0.0816808309726156,43083.148148148146,5801.751238793244,5.618497109826589,0.5722543352601156,0.0173410404624277,70267.0,48585.0,21682.0,0.5014044943820225,lower digital concentration
214021591,Mornington - East,745.0,197.0,0.0698481155072192,0.1166370633510953,45957.23087248322,9522.637022867617,3.781725888324873,0.5025380710659898,0.0,71403.5,49400.0,22003.5,0.5077770973668096,lower digital concentration
214021592,Mornington - West,646.0,209.0,0.0992777009374519,0.1551596139569413,53105.82043343653,15234.995168337402,3.090909090909091,0.5454545454545454,0.0191387559808612,69365.5,50346.0,19019.5,0.5305497031220073,digitally specialised
215011388,Horsham,535.0,101.0,0.0406072106261859,0.0704323570432357,31564.3785046729,-1956.3367894447472,5.297029702970297,0.6237623762376238,0.0,62400.0,48983.0,13417.0,0.4976564092113307,lower digital concentration
215021469,Mildura - North,674.0,184.0,0.0418036345593251,0.0934010152284263,24533.281899109792,245.9554090024903,3.6630434782608696,0.4619565217391304,0.0326086956521739,48765.0,42718.0,6047.0,0.4754906353615915,lower digital concentration
215021470,Mildura - South,585.0,62.0,0.0421682404670943,0.0637204522096608,34391.946153846155,4862.665680985203,9.435483870967742,0.6290322580645161,0.0967741935483871,58461.0,47653.0,10808.0,0.5004438307525397,lower digital concentration
216011406,Echuca,491.0,128.0,0.0385491088953442,0.0723981900452488,29881.76985743381,524.7369611473987,3.8359375,0.6015625,0.046875,60343.0,46729.0,13614.0,0.4986589421735865,lower digital concentration
216031416,Shepparton - North,827.0,237.0,0.0500726568176313,0.1051464063886424,33834.75755743652,1376.320223941726,3.4894514767932487,0.5063291139240507,0.0590717299578059,62145.5,51327.5,10818.0,0.4912562304637999,lower digital concentration
216031594,Shepparton - South East,541.0,110.0,0.0441092539747248,0.0685785536159601,26058.874306839185,2092.3315836430993,4.918181818181818,0.5,0.0272727272727272,49762.0,41555.0,8207.0,0.4779319041614123,lower digital concentration
217041479,Warrnambool - North,908.0,99.0,0.0478801940518877,0.0763888888888889,40202.66740088106,7970.466388436427,9.171717171717171,0.7171717171717171,0.0,64373.5,48865.0,15508.5,0.50530647606671,lower digital concentration
217041480,Warrnambool - South,495.0,126.0,0.0453629032258064,0.0747330960854092,35738.39090909091,3419.369877199413,3.928571428571429,0.3968253968253968,0.0476190476190476,62938.0,48881.0,14057.0,0.4878138847858197,lower digital concentration
301011001,Alexandra Hills,953.0,102.0,0.0696994075916039,0.1103896103896103,46132.82476390346,7014.353433544355,9.34313725490196,0.5784313725490197,0.0,72135.0,54462.0,17673.0,0.4900390625,lower digital concentration
301011002,Belmont - Gumdale,714.0,147.0,0.1182314952806756,0.1487854251012145,54397.91596638656,11106.183063588083,4.857142857142857,0.54421768707483,0.0204081632653061,74329.0,56386.0,17943.0,0.4874403155490969,digitally specialised
301011003,Birkdale,1023.0,141.0,0.0840177398160315,0.1368932038834951,62926.224340175955,20569.81993807346,7.25531914893617,0.6170212765957447,0.0,78516.5,54992.0,23524.5,0.4900260190806591,lower digital concentration
301011004,Capalaba,1031.0,207.0,0.0696668693830664,0.1053435114503816,50748.57807953443,12373.227853167788,4.980676328502415,0.5120772946859904,0.0,72202.0,53759.0,18443.0,0.4948993409767988,lower digital concentration
301011006,Wellington Point,873.0,179.0,0.0886114494518879,0.2078977932636469,57456.05670103093,16258.440277969625,4.877094972067039,0.5642458100558659,0.0,80165.0,54166.0,25999.0,0.5024895707172655,digitally specialised
301021007,Cleveland,994.0,267.0,0.0856453558504222,0.1416445623342175,48226.523138833,11413.136313053234,3.7228464419475658,0.4644194756554307,0.0,69599.0,53019.0,16580.0,0.4952134249352404,lower digital concentration
301021008,Ormiston,571.0,126.0,0.1142,0.2117647058823529,60035.73204903678,19675.54854903678,4.531746031746032,0.5714285714285714,0.0,79827.5,54300.0,25527.5,0.511023622047244,digitally specialised
301021009,Redland Bay,1025.0,196.0,0.069856198459756,0.1434846266471449,44317.72097560976,4722.220634847814,5.229591836734694,0.576530612244898,0.0,77187.5,52548.5,24639.0,0.4907616043262731,emerging growth corridor
301021011,Sheldon - Mount Cotton,609.0,126.0,0.0855697625403962,0.1698113207547169,54092.5369458128,9941.47512201064,4.833333333333333,0.5396825396825397,0.0,85536.0,56549.5,28986.5,0.4834548513740886,digitally specialised
301021012,Thornlands,1257.0,186.0,0.0773633677991137,0.1342960288808664,56136.977326968976,15117.981204369273,6.758064516129032,0.5483870967741935,0.0,78462.5,55042.5,23420.0,0.5068852459016393,emerging growth corridor
301021013,Victoria Point,791.0,139.0,0.0719483354557031,0.1394182547642928,41891.446270543616,5271.638193410632,5.690647482014389,0.5683453237410072,0.0215827338129496,73389.0,50888.0,22501.0,0.4960067763794772,lower digital concentration
301031015,Manly - Lota,687.0,154.0,0.1085994309200126,0.2132963988919667,61802.04730713246,19172.925508207387,4.461038961038961,0.538961038961039,0.0,83482.5,57705.5,25777.0,0.4904871419611122,digitally specialised
301031016,Manly West,960.0,163.0,0.0979591836734693,0.2144736842105263,65439.175,21666.730867346945,5.889570552147239,0.5460122699386503,0.0,80197.5,57943.0,22254.5,0.5055034651447208,digitally specialised
301031017,Murarrie,578.0,196.0,0.1199418966590579,0.1893719806763285,65093.19896193771,21198.5328486362,2.9489795918367347,0.4642857142857143,0.1173469387755102,81952.0,61704.5,20247.5,0.4896253602305475,emerging growth corridor
301031018,Tingalpa,770.0,145.0,0.0999221385933039,0.1823899371069182,58823.77207792208,14802.50150953381,5.310344827586207,0.5103448275862069,0.0206896551724137,79339.0,59893.5,19445.5,0.4998252969951083,digitally specialised
