date,occupation,state,state_name,vacancies
2007-04-01,ICT Business and Systems Analysts,AUST,Australia,4409.76
2007-05-01,ICT Business and Systems Analysts,AUST,Australia,4793.18
2007-06-01,ICT Business and Systems Analysts,AUST,Australia,4718.77
2007-07-01,ICT Business and Systems Analysts,AUST,Australia,4934.1
2007-08-01,ICT Business and Systems Analysts,AUST,Australia,4862.5
2007-09-01,ICT Business and Systems Analysts,AUST,Australia,4926.76
2007-10-01,ICT Business and Systems Analysts,AUST,Australia,4924.21
2007-11-01,ICT Business and Systems Analysts,AUST,Australia,4813.89
2007-12-01,ICT Business and Systems Analysts,AUST,Australia,4377.2
2008-01-01,ICT Business and Systems Analysts,AUST,Australia,4343.73
2008-02-01,ICT Business and Systems Analysts,AUST,Australia,4465.11
2008-03-01,ICT Business and Systems Analysts,AUST,Australia,4880.64
2008-04-01,ICT Business and Systems Analysts,AUST,Australia,4956.67
2008-05-01,ICT Business and Systems Analysts,AUST,Australia,5002.26
2008-06-01,ICT Business and Systems Analysts,AUST,Australia,5023.99
2008-07-01,ICT Business and Systems Analysts,AUST,Australia,4933.86
2008-08-01,ICT Business and Systems Analysts,AUST,Australia,4613.77
2008-09-01,ICT Business and Systems Analysts,AUST,Australia,4486.26
2008-10-01,ICT Business and Systems Analysts,AUST,Australia,4220.22
2008-11-01,ICT Business and Systems Analysts,AUST,Australia,3904.5
2008-12-01,ICT Business and Systems Analysts,AUST,Australia,3305.9
2009-01-01,ICT Business and Systems Analysts,AUST,Australia,2867.79
2009-02-01,ICT Business and Systems Analysts,AUST,Australia,2659.42
2009-03-01,ICT Business and Systems Analysts,AUST,Australia,2665.97
2009-04-01,ICT Business and Systems Analysts,AUST,Australia,2568.76
2009-05-01,ICT Business and Systems Analysts,AUST,Australia,2596.64
2009-06-01,ICT Business and Systems Analysts,AUST,Australia,2723.98
2009-07-01,ICT Business and Systems Analysts,AUST,Australia,2875.09
2009-08-01,ICT Business and Systems Analysts,AUST,Australia,2813.61
2009-09-01,ICT Business and Systems Analysts,AUST,Australia,2843.03
2009-10-01,ICT Business and Systems Analysts,AUST,Australia,2815.68
2009-11-01,ICT Business and Systems Analysts,AUST,Australia,2769.12
2009-12-01,ICT Business and Systems Analysts,AUST,Australia,2513.66
2010-01-01,ICT Business and Systems Analysts,AUST,Australia,2532.94
2010-02-01,ICT Business and Systems Analysts,AUST,Australia,2756.34
2010-03-01,ICT Business and Systems Analysts,AUST,Australia,3242.26
2010-04-01,ICT Business and Systems Analysts,AUST,Australia,3459.8
2010-05-01,ICT Business and Systems Analysts,AUST,Australia,3928.95
2010-06-01,ICT Business and Systems Analysts,AUST,Australia,4199.69
2010-07-01,ICT Business and Systems Analysts,AUST,Australia,4558.82
2010-08-01,ICT Business and Systems Analysts,AUST,Australia,4740.76
2010-09-01,ICT Business and Systems Analysts,AUST,Australia,4901.74
2010-10-01,ICT Business and Systems Analysts,AUST,Australia,4986.23
2010-11-01,ICT Business and Systems Analysts,AUST,Australia,4953.91
2010-12-01,ICT Business and Systems Analysts,AUST,Australia,4513.04
2011-01-01,ICT Business and Systems Analysts,AUST,Australia,4341.46
2011-02-01,ICT Business and Systems Analysts,AUST,Australia,4170.52
2011-03-01,ICT Business and Systems Analysts,AUST,Australia,4868.17
2011-04-01,ICT Business and Systems Analysts,AUST,Australia,4966.23
2011-05-01,ICT Business and Systems Analysts,AUST,Australia,5103.26
2011-06-01,ICT Business and Systems Analysts,AUST,Australia,4665.3
2011-07-01,ICT Business and Systems Analysts,AUST,Australia,4467.94
2011-08-01,ICT Business and Systems Analysts,AUST,Australia,4234.12
2011-09-01,ICT Business and Systems Analysts,AUST,Australia,4050.33
2011-10-01,ICT Business and Systems Analysts,AUST,Australia,3918.12
2011-11-01,ICT Business and Systems Analysts,AUST,Australia,3625.55
2011-12-01,ICT Business and Systems Analysts,AUST,Australia,3081.46
2012-01-01,ICT Business and Systems Analysts,AUST,Australia,2831.71
2012-02-01,ICT Business and Systems Analysts,AUST,Australia,2809.72
2012-03-01,ICT Business and Systems Analysts,AUST,Australia,3319.91
2012-04-01,ICT Business and Systems Analysts,AUST,Australia,3351.01
2012-05-01,ICT Business and Systems Analysts,AUST,Australia,3390.19
2012-06-01,ICT Business and Systems Analysts,AUST,Australia,3132.81
2012-07-01,ICT Business and Systems Analysts,AUST,Australia,3121.97
2012-08-01,ICT Business and Systems Analysts,AUST,Australia,2981.33
2012-09-01,ICT Business and Systems Analysts,AUST,Australia,2954.33
2012-10-01,ICT Business and Systems Analysts,AUST,Australia,2806.67
2012-11-01,ICT Business and Systems Analysts,AUST,Australia,2640.33
2012-12-01,ICT Business and Systems Analysts,AUST,Australia,2205.33
2013-01-01,ICT Business and Systems Analysts,AUST,Australia,2157.33
2013-02-01,ICT Business and Systems Analysts,AUST,Australia,2191.67
2013-03-01,ICT Business and Systems Analysts,AUST,Australia,2546.33
2013-04-01,ICT Business and Systems Analysts,AUST,Australia,2646.0
2013-05-01,ICT Business and Systems Analysts,AUST,Australia,2701.0
2013-06-01,ICT Business and Systems Analysts,AUST,Australia,2545.67
2013-07-01,ICT Business and Systems Analysts,AUST,Australia,2610.67
2013-08-01,ICT Business and Systems Analysts,AUST,Australia,2545.33
2013-09-01,ICT Business and Systems Analysts,AUST,Australia,2591.0
2013-10-01,ICT Business and Systems Analysts,AUST,Australia,2413.33
2013-11-01,ICT Business and Systems Analysts,AUST,Australia,2342.67
2013-12-01,ICT Business and Systems Analysts,AUST,Australia,2065.67
2014-01-01,ICT Business and Systems Analysts,AUST,Australia,2101.0
2014-02-01,ICT Business and Systems Analysts,AUST,Australia,2112.0
2014-03-01,ICT Business and Systems Analysts,AUST,Australia,2460.67
2014-04-01,ICT Business and Systems Analysts,AUST,Australia,2406.67
2014-05-01,ICT Business and Systems Analysts,AUST,Australia,2517.33
2014-06-01,ICT Business and Systems Analysts,AUST,Australia,2496.67
2014-07-01,ICT Business and Systems Analysts,AUST,Australia,2673.67
2014-08-01,ICT Business and Systems Analysts,AUST,Australia,2613.33
2014-09-01,ICT Business and Systems Analysts,AUST,Australia,2653.0
2014-10-01,ICT Business and Systems Analysts,AUST,Australia,2560.33
2014-11-01,ICT Business and Systems Analysts,AUST,Australia,2470.33
2014-12-01,ICT Business and Systems Analysts,AUST,Australia,2164.67
2015-01-01,ICT Business and Systems Analysts,AUST,Australia,2186.33
2015-02-01,ICT Business and Systems Analysts,AUST,Australia,2317.67
2015-03-01,ICT Business and Systems Analysts,AUST,Australia,2678.67
2015-04-01,ICT Business and Systems Analysts,AUST,Australia,2750.0
2015-05-01,ICT Business and Systems Analysts,AUST,Australia,2752.33
2015-06-01,ICT Business and Systems Analysts,AUST,Australia,2697.33
2015-07-01,ICT Business and Systems Analysts,AUST,Australia,2681.67
2015-08-01,ICT Business and Systems Analysts,AUST,Australia,2637.67
2015-09-01,ICT Business and Systems Analysts,AUST,Australia,2659.0
2015-10-01,ICT Business and Systems Analysts,AUST,Australia,2576.0
2015-11-01,ICT Business and Systems Analysts,AUST,Australia,2543.0
2015-12-01,ICT Business and Systems Analysts,AUST,Australia,2204.67
2016-01-01,ICT Business and Systems Analysts,AUST,Australia,2186.67
2016-02-01,ICT Business and Systems Analysts,AUST,Australia,2288.33
2016-03-01,ICT Business and Systems Analysts,AUST,Australia,2657.67
2016-04-01,ICT Business and Systems Analysts,AUST,Australia,2816.0
2016-05-01,ICT Business and Systems Analysts,AUST,Australia,2860.0
2016-06-01,ICT Business and Systems Analysts,AUST,Australia,2829.67
2016-07-01,ICT Business and Systems Analysts,AUST,Australia,2719.33
2016-08-01,ICT Business and Systems Analysts,AUST,Australia,2638.0
2016-09-01,ICT Business and Systems Analysts,AUST,Australia,2628.33
2016-10-01,ICT Business and Systems Analysts,AUST,Australia,2564.33
2016-11-01,ICT Business and Systems Analysts,AUST,Australia,2487.33
2016-12-01,ICT Business and Systems Analysts,AUST,Australia,2180.0
2017-01-01,ICT Business and Systems Analysts,AUST,Australia,2190.33
2017-02-01,ICT Business and Systems Analysts,AUST,Australia,2247.0
2017-03-01,ICT Business and Systems Analysts,AUST,Australia,2622.67
2017-04-01,ICT Business and Systems Analysts,AUST,Australia,2588.0
2017-05-01,ICT Business and Systems Analysts,AUST,Australia,2703.67
2017-06-01,ICT Business and Systems Analysts,AUST,Australia,2618.67
2017-07-01,ICT Business and Systems Analysts,AUST,Australia,2709.67
2017-08-01,ICT Business and Systems Analysts,AUST,Australia,2739.0
2017-09-01,ICT Business and Systems Analysts,AUST,Australia,2817.67
2017-10-01,ICT Business and Systems Analysts,AUST,Australia,2918.67
2017-11-01,ICT Business and Systems Analysts,AUST,Australia,2885.0
2017-12-01,ICT Business and Systems Analysts,AUST,Australia,2536.67
2018-01-01,ICT Business and Systems Analysts,AUST,Australia,2524.67
2018-02-01,ICT Business and Systems Analysts,AUST,Australia,2604.0
2018-03-01,ICT Business and Systems Analysts,AUST,Australia,3047.67
2018-04-01,ICT Business and Systems Analysts,AUST,Australia,3115.33
2018-05-01,ICT Business and Systems Analysts,AUST,Australia,3215.33
2018-06-01,ICT Business and Systems Analysts,AUST,Australia,3105.33
2018-07-01,ICT Business and Systems Analysts,AUST,Australia,3172.33
2018-08-01,ICT Business and Systems Analysts,AUST,Australia,3154.0
2018-09-01,ICT Business and Systems Analysts,AUST,Australia,3207.33
2018-10-01,ICT Business and Systems Analysts,AUST,Australia,3204.0
2018-11-01,ICT Business and Systems Analysts,AUST,Australia,3217.33
2018-12-01,ICT Business and Systems Analysts,AUST,Australia,2913.33
2019-01-01,ICT Business and Systems Analysts,AUST,Australia,2936.33
2019-02-01,ICT Business and Systems Analysts,AUST,Australia,2824.33
2019-03-01,ICT Business and Systems Analysts,AUST,Australia,3203.67
2019-04-01,ICT Business and Systems Analysts,AUST,Australia,3104.67
2019-05-01,ICT Business and Systems Analysts,AUST,Australia,3242.0
2019-06-01,ICT Business and Systems Analysts,AUST,Australia,3062.33
2019-07-01,ICT Business and Systems Analysts,AUST,Australia,3140.0
2019-08-01,ICT Business and Systems Analysts,AUST,Australia,2996.0
2019-09-01,ICT Business and Systems Analysts,AUST,Australia,3029.0
2019-10-01,ICT Business and Systems Analysts,AUST,Australia,2874.33
2019-11-01,ICT Business and Systems Analysts,AUST,Australia,2719.0
2019-12-01,ICT Business and Systems Analysts,AUST,Australia,2447.33
2020-01-01,ICT Business and Systems Analysts,AUST,Australia,2494.33
2020-02-01,ICT Business and Systems Analysts,AUST,Australia,2679.67
